SKU_ID,Month,Units_Sold,Revenue_USD,COGS_USD,Gross_Profit_USD
CE-0001,2023-01,421,305199.74,242790.7,62409.04
CE-0001,2023-02,432,313174.08,249134.4,64039.68
CE-0001,2023-03,618,448012.92,356400.6,91612.32
CE-0001,2023-04,501,363194.94,288926.7,74268.24
CE-0001,2023-05,664,481360.16,382928.8,98431.36
CE-0001,2023-06,699,506733.06,403113.3,103619.76
CE-0001,2023-07,691,500933.54,398499.7,102433.84
CE-0001,2023-08,683,495134.02,393886.1,101247.92
CE-0001,2023-09,654,474110.76,377161.8,96948.96
CE-0001,2023-10,534,387117.96,307957.8,79160.16
CE-0001,2023-11,725,525581.5,418107.5,107474.0
CE-0001,2023-12,784,568352.96,452132.8,116220.16
CE-0001,2024-01,394,285626.36,227219.8,58406.56
CE-0001,2024-02,418,303024.92,241060.6,61964.32
CE-0001,2024-03,641,464686.54,369664.7,95021.84
CE-0001,2024-04,578,419015.32,333332.6,85682.72
CE-0001,2024-05,542,392917.48,312571.4,80346.08
CE-0001,2024-06,711,515432.34,410033.7,105398.64
CE-0001,2024-07,558,404516.52,321798.6,82717.92
CE-0001,2024-08,587,425539.78,338522.9,87016.88
CE-0001,2024-10,512,371169.28,295270.4,75898.88
CE-0001,2024-11,761,551679.34,438868.7,112810.64
CE-0001,2024-12,797,577777.18,459629.9,118147.28
CE-0001,2025-01,482,349421.08,277969.4,71451.68
CE-0002,2023-01,618,234747.3,204477.66,30269.64
CE-0002,2023-02,705,267794.25,233263.35,34530.9
CE-0002,2023-03,990,376051.5,327561.3,48490.2
CE-0002,2023-04,968,367694.8,320282.16,47412.64
CE-0002,2023-05,775,294383.75,256424.25,37959.5
CE-0002,2023-06,848,322112.8,280577.76,41535.04
CE-0002,2023-07,925,351361.25,306054.75,45306.5
CE-0002,2023-08,971,368834.35,321274.77,47559.58
CE-0002,2023-09,815,309577.75,269659.05,39918.7
CE-0002,2023-10,887,336926.95,293481.69,43445.26
CE-0002,2023-11,1044,396563.4,345428.28,51135.12
CE-0002,2023-12,1160,440626.0,383809.2,56816.8
CE-0002,2024-01,694,263615.9,229623.78,33992.12
CE-0002,2024-02,685,260197.25,226645.95,33551.3
CE-0002,2024-03,982,373012.7,324914.34,48098.36
CE-0002,2024-04,964,366175.4,318958.68,47216.72
CE-0002,2024-05,841,319453.85,278261.67,41192.18
CE-0002,2024-06,954,362376.9,315649.98,46726.92
CE-0002,2024-07,1000,379850.0,330870.0,48980.0
CE-0002,2024-08,924,350981.4,305723.88,45257.52
CE-0002,2024-10,798,303120.3,264034.26,39086.04
CE-0002,2024-11,1065,404540.25,352376.55,52163.7
CE-0002,2024-12,1099,417455.15,363626.13,53829.02
CE-0002,2025-01,672,255259.2,222344.64,32914.56
CE-0003,2023-01,564,213913.92,148777.56,65136.36
CE-0003,2023-02,632,239704.96,166715.28,72989.68
CE-0003,2023-03,769,291666.32,202854.51,88811.81
CE-0003,2023-04,694,263220.32,183070.26,80150.06
CE-0003,2023-05,753,285597.84,198633.87,86963.97
CE-0003,2023-06,691,262082.48,182278.89,79803.59
CE-0003,2023-07,797,302286.16,210240.63,92045.53
CE-0003,2023-08,842,319353.76,222111.18,97242.58
CE-0003,2023-09,622,235912.16,164077.38,71834.78
CE-0003,2023-10,766,290528.48,202063.14,88465.34
